record_type,api_well_number,paleo_report_id,total_reports_for_api,surface_area,surface_block,lease_number,well_name,public_information_code,public_release_date,paleo_effective_date,paleo_report_source,paleo_reporter,drilling_operator,high_sample,low_sample,ecozone_eq_mms,first_sample_examined,borehole_measured_depth,true_vertical_depth,rkb_elevation,water_depth,surface_x_coordinate,surface_y_coordinate,surface_latitude,surface_longitude,remarks,source_file,source_line
H,608164009200,2,1,VK,862,G05783,001,Y,1989-03-31,1985-09-18,OPERATOR,OPERATOR,"HILCORP NORTH SLOPE, LLC",2050.0,14710.0,Y,2050.0,14693.0,13561.0,73.0,925.0,1199752.0,10579276.0,29.14416471,-88.38082611,,gepaldmp_Header.txt,12014
H,608164010100,1,1,VK,862,G05783,002,Y,1989-03-31,1986-09-10,OPERATOR,OPERATOR,"HILCORP NORTH SLOPE, LLC",2350.0,13960.0,Y,2350.0,14134.0,13573.0,84.0,950.0,1199152.0,10578623.0,29.14234928,-88.38268172,Company-integrated foram and nanno report,gepaldmp_Header.txt,12015
H,608164010101,1,1,VK,862,G05783,002,Y,1989-03-31,1986-09-10,OPERATOR,OPERATOR,"HILCORP NORTH SLOPE, LLC",11510.0,15310.0,Y,11510.0,15310.0,14629.0,84.0,950.0,1199152.0,10578623.0,29.14234928,-88.38268172,,gepaldmp_Header.txt,12016
H,608164006300,2,1,VK,863,G04133,001,Y,1984-09-30,1989-07-13,OPERATOR,OPERATOR,ATLANTIC RICHFIELD COMPANY,3010.0,15082.0,Y,3010.0,15082.0,15014.0,85.0,1068.0,1217258.0,10579360.0,29.14494968,-88.32598631,,gepaldmp_Header.txt,12017
H,608164007200,1,1,VK,864,G04498,002,Y,1985-10-31,1982-11-29,OPERATOR,CROSBIE-MACOMBER,CONOCO INC,4510.0,9160.0,Y,4510.0,9160.0,9157.0,73.0,1455.0,1229018.0,10569855.0,29.11916602,-88.28881751,,gepaldmp_Header.txt,12018
H,608164027200,2,2,VK,864,G15437,001,Y,2003-06-30,1997-07-03,OPERATOR,Bruce DeSelle,TEXACO EXPLORATION AND PROD,2810.0,8900.0,Y,2810.0,8961.0,8957.0,82.0,1457.0,1233128.0,10571427.0,29.123613,-88.27599784,,gepaldmp_Header.txt,12019
H,608164027200,3,2,VK,864,G15437,001,Y,2003-06-30,1997-05-26,OPERATOR,"TOTAL BIOSTRATIGRPHIC SERVICES, INC.",TEXACO EXPLORATION AND PROD,2810.0,8900.0,N,2810.0,8961.0,8957.0,82.0,1457.0,1233128.0,10571427.0,29.123613,-88.27599784,Calcareous nannofossil report,gepaldmp_Header.txt,12020
H,608164013000,1,1,VK,869,G05784,001,Y,1990-08-31,1988-07-29,COMPLETION REPORT (WELL SUMMARY),OPERATOR,TEXACO EXPLORATION AND PROD,0.0,0.0,,0.0,8406.0,8405.0,83.0,1918.0,1310350.0,10579646.0,29.14830554,-88.03433118,,gepaldmp_Header.txt,12021
H,608164013800,1,1,VK,869,G05784,002,Y,1990-08-31,1989-07-26,COMPLETION REPORT (WELL SUMMARY),OPERATOR,TEXACO EXPLORATION AND PROD,0.0,0.0,,0.0,10600.0,10586.0,72.0,2050.0,1303807.0,10575154.0,29.13578957,-88.05470597,,gepaldmp_Header.txt,12022
H,608164043000,1,2,VK,869,G13065,SS002,Y,2014-03-20,2004-09-21,OPERATOR,"PALEO-DATA, INC.",ANADARKO US OFFSHORE LLC,4360.0,11950.0,Y,4360.0,11950.0,11474.0,82.0,2423.0,1301399.0,10567943.0,29.11589471,-88.0620461,,gepaldmp_Header.txt,12023
H,608164043000,2,2,VK,869,G13065,SS002,Y,2014-03-20,2004-09-21,OPERATOR,"PALEO-DATA, INC.",ANADARKO US OFFSHORE LLC,4360.0,11950.0,,4360.0,11950.0,11474.0,82.0,2423.0,1301399.0,10567943.0,29.11589471,-88.0620461,Calcareous nannofossil report,gepaldmp_Header.txt,12024
H,608164013700,2,2,VK,870,G06890,001,Y,1990-05-30,1990-01-15,OPERATOR,OPERATOR,TEXACO INC,4050.0,10350.0,Y,4050.0,10375.0,10368.0,87.0,2463.0,1316617.0,10573475.0,29.13148086,-88.0145281,,gepaldmp_Header.txt,12025
H,608164013700,3,2,VK,870,G06890,001,Y,1990-05-30,1990-01-10,OPERATOR,OPERATOR,TEXACO INC,4050.0,10320.0,,4050.0,10375.0,10368.0,87.0,2463.0,1316617.0,10573475.0,29.13148086,-88.0145281,"Calcareous nannofossil report, nannospecies abundance and diversity chart available, see report for details",gepaldmp_Header.txt,12026
H,608164041600,1,2,VK,870,G13066,001,Y,2006-04-05,2003-08-18,OPERATOR,"PALEO-DATA, INC.",ANADARKO US OFFSHORE LLC,8150.0,14622.0,Y,8150.0,14622.0,11671.0,78.0,2678.0,1324174.767737,10574381.192952,29.13415077,-87.990875,,gepaldmp_Header.txt,12027
H,608164041600,2,2,VK,870,G13066,001,Y,2006-04-05,2003-08-18,OPERATOR,"PALEO-DATA, INC.",ANADARKO US OFFSHORE LLC,8150.0,14622.0,,8150.0,14622.0,11671.0,78.0,2678.0,1324174.767737,10574381.192952,29.13415077,-87.990875,Calcareous nannofossil report,gepaldmp_Header.txt,12028
H,608164019900,1,1,VK,871,G08469,001,Y,2004-08-15,1994-08-03,OPERATOR,OPERATOR,BP AMERICA PRODUCTION COMPANY,6700.0,12798.0,,6700.0,13746.0,12851.0,46.0,2920.0,1338060.0,10573820.0,29.13292161,-87.94735952,Marlin Prospect,gepaldmp_Header.txt,12029
H,608164033600,1,1,VK,872,G19907,001,Y,2008-07-31,1999-01-13,COMPLETION REPORT (WELL SUMMARY),OPERATOR,SHELL DEEPWATER DEVELOPMENT INC,0.0,0.0,,0.0,10952.0,9986.0,84.0,3480.0,1359626.0,10571175.0,29.12610618,-87.87973272,In=sand,gepaldmp_Header.txt,12030
H,608164033601,1,1,VK,872,G19908,SS001,Y,2008-07-31,1999-01-13,COMPLETION REPORT (WELL SUMMARY),OPERATOR,SHELL DEEPWATER DEVELOPMENT INC,0.0,0.0,,0.0,12308.0,9996.0,84.0,3463.0,1359626.0,10571175.0,29.12610618,-87.87973272,In=sand,gepaldmp_Header.txt,12031
H,608164012400,1,1,VK,873,G08471,001,Y,1991-05-30,1989-11-13,OPERATOR,OPERATOR,SHELL OFFSHORE INC.,6185.0,12945.0,Y,6185.0,12945.0,12945.0,90.0,3810.0,1365712.0,10571254.0,29.12644721,-87.86066856,"Einset Prospect, company-integrated foram and nanno report",gepaldmp_Header.txt,12032
H,608164000102,1,1,VK,899,G02444,003,Y,1988-12-27,1974-12-27,OPERATOR,"PALEO-DATA, INC.",GULF OIL CORPORATION,5660.0,7340.0,Y,5660.0,7357.0,7123.0,72.0,395.0,1083220.0,10551440.0,29.06335906,-88.74456292,6860=Cyclammina 6,gepaldmp_Header.txt,12033
